total_to_anom,total_from_anom,total_other,total_added,total_deleted
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,162,597,81
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
22,15,159,588,31
21,15,159,585,65
21,15,159,585,32
21,15,159,585,32
21,15,159,585,32
21,15,159,585,31
22,15,159,588,31
22,15,159,588,31
22,15,157,582,31
22,15,157,582,31
22,15,157,582,31
22,15,157,582,31
22,15,157,582,31
22,15,157,582,31
22,15,157,582,35
22,15,157,582,35
22,15,157,582,36
25,19,160,612,37
25,19,160,612,37
25,19,160,612,37
25,19,160,612,37
25,19,160,612,37
25,19,160,612,36
25,19,159,609,36
25,19,159,609,36
25,19,159,609,33
25,19,159,609,33
25,19,159,609,33
25,19,159,609,33
25,19,159,609,33
25,19,159,609,33
25,19,160,612,33
25,19,157,603,33
25,19,157,603,33
25,19,157,603,33
25,19,157,603,33
25,19,155,597,33
25,19,155,597,33
25,19,155,597,33
25,19,155,597,33
25,19,155,597,33
25,19,157,603,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
23,18,156,591,33
23,18,156,591,33
23,18,155,588,33
23,18,155,588,33
23,18,155,588,33
23,18,154,585,33
2,1,68,213,0
8,1,68,231,77
8,1,68,231,77
8,1,68,231,0
8,1,68,231,0
8,1,68,231,0
0,0,28,84,28
0,0,28,84,28
1,0,134,405,0
1,0,136,411,0
1,0,136,411,0
1,0,138,417,0
1,0,138,417,0
1,0,138,417,0
1,0,138,417,0
1,0,140,423,0
1,0,142,429,0
1,0,144,435,0
1,0,146,441,0
1,0,148,447,0
32,28,130,570,0
32,28,132,576,0
32,28,134,582,0
32,28,134,582,0
32,28,136,588,0
32,28,136,588,0
32,28,138,594,0
32,28,138,594,0
32,28,140,600,0
32,28,142,606,0
32,28,142,606,0
33,29,142,612,0
33,29,144,618,0
33,29,144,618,0
34,31,148,639,0
34,31,150,645,0
36,31,160,681,0
36,31,160,681,0
29,29,133,573,0
30,28,134,576,0
30,28,138,588,0
28,28,135,573,0
25,32,132,567,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,116,489,0
23,24,115,486,0
23,24,116,489,0
23,24,114,483,0
23,24,114,483,0
23,24,113,480,0
23,24,114,483,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,112,477,0
23,24,111,474,0
23,24,110,471,0
23,24,110,471,0
